Run,dims,lambda,alpha,iter,Recall@20,NDCG@20,Total Time (s)
1,24,0.8393,19,6,0.9039,0.6485,1616.1
2,88,0.0168,29,5,0.8818,0.6771,1684
3,49,0.9172,35,9,0.9025,0.6808,1815.8
4,92,0.8068,90,10,0.8967,0.6979,2004.1
5,48,0.998,10,6,0.8833,0.6555,1697.1
6,24,0.6579,21,6,0.9038,0.6497,2031.9
7,24,0.6706,35,7,0.9096,0.6586,3203.2
8,24,0.9838,84,8,0.922,0.6722,1856.2
9,24,0.9643,52,9,0.916,0.6658,1923.4
10,21,0.9071,100,10,0.9254,0.6694,2006.5
11,33,0.511,100,10,0.9219,0.6867,2047.1
12,21,0.2204,100,8,0.9247,0.6688,1847.3
13,20,0.9724,99,7,0.9232,0.6653,1967.2
14,22,0.97,99,9,0.9252,0.6716,2157.1
15,22,0.2224,98,10,0.924,0.6709,2239.8
16,20,0.6754,98,9,0.9268,0.6673,2147.7
17,21,0.5213,99,9,0.925,0.6688,2147.1
18,20,0.8113,100,9,0.9264,0.6668,2154.5
19,21,0.9056,83,10,0.9225,0.6666,2227
20,20,0.0143,95,8,0.9234,0.6648,2069.2
21,22,0.0525,95,8,0.9235,0.6649,2086.4
22,20,0.117,93,10,0.9236,0.6661,2242.8
23,21,0.0143,91,10,0.9236,0.6647,2232.5
24,21,0.1413,91,10,0.9235,0.6655,2250
25,20,0.2604,92,9,0.9239,0.6667,2149.1
26,20,0.2504,90,10,0.9237,0.6661,2230.7
27,20,0.5877,90,10,0.9237,0.6667,2258.1
28,20,0.3091,90,10,0.9238,0.6662,2246.9
29,20,0.1914,90,10,0.9237,0.6661,2255.8
30,20,0.3704,91,10,0.9237,0.6662,2249.7
